"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ACAT","Arctic Cat Inc.","44.04","579015855.96","n/a","1990","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/acat",
"ARDNA","Arden Group, Inc.","91","279461000","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/ardna",
"ARNA","Arena Pharmaceuticals, Inc.","8.635","1872223032.79","n/a","2000","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arna",
"AFC","Ares Capital Corporation","25.06","200480000","n/a","1984","n/a","n/a","http://www.nasdaq.com/symbol/afc",
"ARCC","Ares Capital Corporation","17.41","4318128220.45","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/arcc",
"ARN","Ares Capital Corporation","26.68","0","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/arn",
"ARY","Ares Capital Corporation","26.91","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ary",
"ACRE","Ares Commercial Real Estate Corporation","16.95","157078395.9","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/acre",
"AGX","Argan, Inc.","16.88","230865481.2","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/agx",
"AGII","Argo Group International Holdings, Ltd.","31.24","789280880.52","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"ARIA","ARIAD Pharmaceuticals, Inc.","21.96","3649853543.04","n/a","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aria",
"ARBA","Ariba, Inc.","44.705","4565542830","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/arba",
"ARKR","Ark Restaurants Corp.","16.145","52388022.525","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arkr",
"ABFS","Arkansas Best Corporation","8.24","211042426.8","n/a","1992","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/abfs",
"AI","Arlington Asset Investment Corp","22.885","221556893.775","n/a","1972","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ai",
"ARMH","ARM Holdings, plc","26.18","12017474515.2","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh",
"ARR/WS","Armour Residential R","0.0314","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arr/ws",
"ARR","Armour Residential R","7.56","1770751145.52","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arr",
"ARR^A","Armour Residential R","25.4899","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arr^a",
"AWI","Armstrong World Industries Inc","44.6","2623058462","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/awi",
"ARTX","Arotech Corporation","0.78","12432997.98","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
